"NOMBRE_EST","NIVMOD","NIVELMODAL","TIPEST","COMUNA","ESTADO","POINT_X","POINT_Y","nivel","long","lat","niv","num_niv","geometry"
"Esc. Primaria Común N° 07 Niñas de Ayohuma","PriCom","Nivel Primario Común","Escuela de Jornada Simple",7,"1",101940.073,99285.7467,"Primario Común",-58.4421410529669,-34.6357068457473,"Primario",1,c(-58.4421410529669, -34.6357068457473)
"Inst. de Enseñanza Gral. San Martín","SecCom - SNUCom","Nivel Secundario y Superior No Universitario Común","Instituto Educativo Incorporado a la Enseñanza Oficial",13,"1",99932.0719,108445.6973,"Secundario y Superior No Universitario Común",-58.4640394080852,-34.5531367604835,"Secundario a Superior",2,c(-58.4640394080852, -34.5531367604835)
"Esc. Primaria p/Adultos N° 13 Dr. Alfredo Lanari","PriAdu - OSEAdu","Nivel Primario de Jóvenes y Adultos - Otros Servicios Educativos de la modalidad de Jóvenes y Adultos","Escuela Primaria para Adultos",8,"1",98837.2886,93564.2298,"Primario de Jóvenes y Adultos - Otros Servicios Educativos de la modalidad de Jóvenes y Adultos",-58.475988901594,-34.6872835481373,"Primario",1,c(-58.475988901594, -34.6872835481373)
"UGEE Nº 17 Bachillerato Popular de Jóvenes y Adultos Sergio Karakachoff","SecAdu","Nivel Secundario de Jóvenes y Adultos","Unidad de Gestión Educativa Experimental",10,"1",98430.6528,99326.7056,"Secundario de Jóvenes y Adultos",-58.480415447159,-34.6353380729296,"Secundario",1,c(-58.480415447159, -34.6353380729296)
"Esc. Primaria Común N° 12 Facundo Zuviria","PriCom","Nivel Primario Común","Escuela de Jornada Completa",7,"1",100240.2062,101538.767,"Primario Común",-58.4606806487499,-34.6153989527487,"Primario",1,c(-58.4606806487499, -34.6153989527487)
"Esc. Primaria Común N° 12 José Enrique Rodó","PriCom","Nivel Primario Común","Escuela de Jornada Simple",7,"1",102043.0255,98209.7668,"Primario Común",-58.441015706959,-34.6454059317514,"Primario",1,c(-58.441015706959, -34.6454059317514)
"Jardín de Infantes Común N° 03/12° Banderín","IniCom","Nivel Inicial Común","Jardín de Infantes Común",10,"1",97348.2435,100864.9038,"Inicial Común",-58.4922154657625,-34.6214698731587,"Inicial",1,c(-58.4922154657625, -34.6214698731587)
"Inst. Sta. Catalina de Belgrano","IniCom - PriCom - SecCom - SNUCom","Nivel Inicial, Primario, Secundario y Superior No Universitario Común","Instituto Educativo Incorporado a la Enseñanza Oficial",13,"1",100245.3748,106386.9507,"Inicial, Primario, Secundario y Superior No Universitario Común",-58.460625379387,-34.5716952920914,"Inicial a Superior",4,c(-58.460625379387, -34.5716952920914)
"Esc. Primaria p/Adultos N° 03 Emilio Giménez Zapiola","PriAdu - OSEAdu","Nivel Primario de Jóvenes y Adultos - Otros Servicios Educativos de la modalidad de Jóvenes y Adultos","Escuela Primaria para Adultos",10,"1",98468.1734,99799.8809,"Primario de Jóvenes y Adultos - Otros Servicios Educativos de la modalidad de Jóvenes y Adultos",-58.4800053556253,-34.6310727494093,"Primario",1,c(-58.4800053556253, -34.6310727494093)
"Centro de Formación Profesional - UTEDYC","OSECom - OSEAdu","Otros Servicios Educativos de las modalidades Común y de Jóvenes y Adultos","Centro de Formación Profesional (Privado)",3,"1",106108.5932,103121.1779,"Otros Servicios Educativos de las modalidades Común y de Jóvenes y Adultos",-58.3967056871689,-34.6011166098038,"Otros",1,c(-58.3967056871689, -34.6011166098038)
"Esc. Primaria Común N° 02 Dr. Genaro Sisto","PriCom","Nivel Primario Común","Escuela de Jornada Simple",4,"1",103928.9394,97179.711,"Primario Común",-58.4204404318451,-34.6546858263927,"Primario",1,c(-58.4204404318451, -34.6546858263927)
"Centro de Actividades Infantiles y Juveniles Club de Chicos Mataderos","OSECom","Otros Servicios Educativos de la modalidad Común","Centro de Actividades Infantiles y Juveniles",9,"1",96863.034,95614.0433,"Otros Servicios Educativos de la modalidad Común",-58.4975261428669,-34.6688016342841,"Otros",1,c(-58.4975261428669, -34.6688016342841)
"Jardín de Infantes Integral N° 10/19° (sede)","IniCom","Nivel Inicial Común","Jardín de Infantes Integral",8,"1",101180.7947,96281.4961,"Inicial Común",-58.450417907769,-34.6627893482774,"Inicial",1,c(-58.450417907769, -34.6627893482774)
"Esc. Técnica N° 26 Confederación Suiza","SecCom","Nivel Secundario Común","Escuela Técnica",3,"1",105289.1026,101799.549,"Secundario Común - Otros Servicios Educativos de la modalidad de Jóvenes y Adultos",-58.4056313608641,-34.6130348262764,"Secundario",1,c(-58.4056313608641, -34.6130348262764)
"Esc. Primaria Común N° 10 Presidente Manuel Quintana","PriCom","Nivel Primario Común","Escuela de Jornada Completa",3,"1",105771.1357,102849.5049,"Primario Común",-58.4003827113083,-34.6035675189411,"Primario",1,c(-58.4003827113083, -34.6035675189411)
"Esc. Primaria Común N° 18 Provincia de La Rioja","PriCom","Nivel Primario Común","Escuela de Jornada Completa",4,"1",108707.9275,99480.458,"Primario Común",-58.3683314544503,-34.6339168698084,"Primario",1,c(-58.3683314544503, -34.6339168698084)
"Jardín de Infantes Común N° 03/10° sede","IniCom","Nivel Inicial Común","Jardín de Infantes Común",13,"1",100405.4413,107224.631,"Inicial Común",-58.4588813447978,-34.5641439996834,"Inicial",1,c(-58.4588813447978, -34.5641439996834)
"Esc. Técnica N° 31 Maestro Quinquela","SecCom","Nivel Secundario Común","Escuela Técnica",4,"1",109482.8869,98931.438,"Secundario Común",-58.3598736715817,-34.6388591026871,"Secundario",1,c(-58.3598736715817, -34.6388591026871)
"Escuela Infantil Snoopy","OSECom","Otros Servicios Educativos de la modalidad Común","Instituto Educativo Asistencial No Incorporado a la Enseñanza Oficial",6,"1",100711.0716,101486.405,"Otros Servicios Educativos de la modalidad Común",-58.45554650246,-34.6158707721142,"Otros",1,c(-58.45554650246, -34.6158707721142)
"Escuela Infantil N° 08/04°","IniCom","Nivel Inicial Común","Escuela Infantil",1,"1",108167.4753,101345.6288,"Inicial Común",-58.3742434500177,-34.6171079263331,"Inicial",1,c(-58.3742434500177, -34.6171079263331)
"Inst. Comprender","IniEsp - PriEsp","Nivel Inicial y Primario Especial","Instituto Educativo Incorporado a la Enseñanza Oficial",15,"1",101382.0571,104430.4479,"Inicial y Primario Especial",-58.4482349375951,-34.5893312667326,"Inicial a Primario",2,c(-58.4482349375951, -34.5893312667326)
"Jardín de Infantes Nucleado A (EPCjc 19/12°)","IniCom","Nivel Inicial Común","Jardín de Infantes Nucleado",7,"1",100027.381,100167.4525,"Inicial Común",-58.4630012442517,-34.6277605441408,"Inicial",1,c(-58.4630012442517, -34.6277605441408)
"Esc. Hospitalaria N° 02 Dr. J. P. Garrahan","OSECom - OSEAdu","Otros Servicios Educativos de la modalidad Común - Otros Servicios Educativos de la modalidad de Jóvenes y Adultos","Escuela Hospitalaria",4,"1",106567.9923,99866.5392,"Otros Servicios Educativos de la modalidad Común",-58.391672479477,-34.6304524130967,"Otros",1,c(-58.391672479477, -34.6304524130967)
"Centro Educativo de Nivel Secundario N° 74","SecAdu","Nivel Secundario de Jóvenes y Adultos","Centro Educativo de Nivel Secundario",15,"1",101287.3263,104964.6452,"Secundario de Jóvenes y Adultos",-58.4492682920398,-34.5845158902917,"Secundario",1,c(-58.4492682920398, -34.5845158902917)
"Inst. Don Orione","IniCom - PriCom","Nivel Inicial y Primario Común","Instituto Educativo Incorporado a la Enseñanza Oficial",3,"1",106178.2321,102059.7929,"Inicial y Primario Común",-58.3959388491242,-34.6106839620466,"Inicial a Primario",2,c(-58.3959388491242, -34.6106839620466)
"Centro de Formación Profesional N° 17 Ing. Cesar M. Polledo - UOCRA","OSECom - OSEAdu","Otros Servicios Educativos de las modalidades Común y de Jóvenes y Adultos","Centro de Formación Profesional",5,"1",103467.7336,101857.7331,"Otros Servicios Educativos de las modalidades Común y de Jóvenes y Adultos",-58.4254904193347,-34.612518004102,"Otros",1,c(-58.4254904193347, -34.612518004102)
"Esc. Primaria Común N° 27 Manuel de Sarratea","PriCom","Nivel Primario Común","Escuela de Jornada Completa",4,"1",107916.1856,97712.3568,"Primario Común",-58.376949756765,-34.6498615423429,"Primario",1,c(-58.376949756765, -34.6498615423429)
"Inst. La Candelaria","IniCom - PriCom - SecCom","Nivel Inicial, Primario y Secundario Común","Instituto Educativo Incorporado a la Enseñanza Oficial",10,"1",98291.1836,99948.8849,"Inicial, Primario y Secundario Común",-58.4819352260443,-34.6297292809054,"Inicial a Secundario",3,c(-58.4819352260443, -34.6297292809054)
"Centro Educativo de Nivel Secundario N° 06","SecAdu","Nivel Secundario de Jóvenes y Adultos","Centro Educativo de Nivel Secundario",3,"1",105490.5075,102114.3451,"Secundario de Jóvenes y Adultos",-58.4034374118085,-34.6101960787678,"Secundario",1,c(-58.4034374118085, -34.6101960787678)
"ICEA  Altos Estudios","SNUCom","Nivel Superior No Universitario Común","Instituto Educativo Incorporado a la Enseñanza Oficial",14,"1",101642.8927,106633.888,"Superior No Universitario Común",-58.4453959083287,-34.5694680734656,"Superior",1,c(-58.4453959083287, -34.5694680734656)
"Esc. Primaria Común N° 19 Provincia del Chubut","PriCom","Nivel Primario Común","Escuela de Jornada Simple",15,"1",101699.2808,104103.6475,"Primario Común",-58.4447765203145,-34.5922767315924,"Primario",1,c(-58.4447765203145, -34.5922767315924)
"Inst. San Gregorio","IniCom - PriCom","Nivel Inicial y Primario Común","Instituto Educativo Incorporado a la Enseñanza Oficial",14,"1",102754.532,104301.6225,"Inicial y Primario Común",-58.4332743520667,-34.5904898659286,"Inicial a Primario",2,c(-58.4332743520667, -34.5904898659286)
"Inst. E.P.S.A. de Capacitación","SNUCom","Nivel Superior No Universitario Común","Instituto Educativo Incorporado a la Enseñanza Oficial",10,"1",94576.7059,100358.5441,"Superior No Universitario Común",-58.5224405330374,-34.6260233411099,"Superior",1,c(-58.5224405330374, -34.6260233411099)
"Esc. para Jóvenes y Adultos con Discapacidad Visual y Formación Integral N° 37 Francisco Gatti","OSEEsp","Otros Servicios Educativos de la modalidad Especial","Escuela de Educación Especial",1,"1",108055.102,101304.8514,"Otros Servicios Educativos de la modalidad Especial",-58.3754683573522,-34.617476392177,"Otros",1,c(-58.3754683573522, -34.617476392177)
"Esc. Primaria Común N° 18 Helena Larroque de Roffo","PriCom","Nivel Primario Común","Escuela de Jornada Completa",12,"1",96019.517,106656.8281,"Primario Común",-58.5066768333949,-34.569254585532,"Primario",1,c(-58.5066768333949, -34.569254585532)
"Esc. Primaria Común N° 18 Jorge Newbery","PriCom","Nivel Primario Común","Escuela de Jornada Completa",8,"1",100247.8628,93182.7155,"Primario Común",-58.46059526151,-34.6907233381844,"Primario",1,c(-58.46059526151, -34.6907233381844)
"Inst. Aequalis","IniCom - PriCom","Nivel Inicial y Primario Común","Instituto Educativo Incorporado a la Enseñanza Oficial",13,"1",101014.9119,106399.1504,"Inicial y Primario Común",-58.4522390976842,-34.5715848876286,"Inicial a Primario",2,c(-58.4522390976842, -34.5715848876286)
"Esc. Primaria Común N° 03 Dr. Onésimo Leguizamón","PriCom","Nivel Primario Común","Escuela de Jornada Completa",2,"1",106853.1466,103693.4403,"Primario Común",-58.3885933879345,-34.5959533334746,"Primario",1,c(-58.3885933879345, -34.5959533334746)
"Jardín de Infantes Nucleado A (EPCjs 18/17°) Alicia Moreau de Justo","IniCom","Nivel Inicial Común","Jardín de Infantes Nucleado",11,"1",97720.2839,102025.8618,"Inicial Común",-58.488155413514,-34.6110054413556,"Inicial",1,c(-58.488155413514, -34.6110054413556)
"Jardín Andy Panda","OSECom","Otros Servicios Educativos de la modalidad Común","Instituto Educativo Asistencial No Incorporado a la Enseñanza Oficial",11,"1",97220.9329,102956.1567,"Otros Servicios Educativos de la modalidad Común",-58.4935967195845,-34.6026181161051,"Otros",1,c(-58.4935967195845, -34.6026181161051)
"Esc. Técnica N° 02 Osvaldo Magnasco","SecCom","Nivel Secundario Común","Escuela Técnica",14,"1",104323.2562,104934.5184,"Secundario Común",-58.4161779752796,-34.5847793393162,"Secundario",1,c(-58.4161779752796, -34.5847793393162)
"Jardín de Infantes Nucleado D (EPCjs 22/16°) [Sede]","IniCom","Nivel Inicial Común","Jardín de Infantes Nucleado",12,"1",96323.4685,105667.8378,"Inicial Común",-58.5033688560694,-34.5781709540707,"Inicial",1,c(-58.5033688560694, -34.5781709540707)
"Escuela Infantil Jarpadimpi","OSECom","Otros Servicios Educativos de la modalidad Común","Instituto Educativo Asistencial No Incorporado a la Enseñanza Oficial",6,"1",101939.1625,100305.5831,"Otros Servicios Educativos de la modalidad Común",-58.4421532498025,-34.6265136509164,"Otros",1,c(-58.4421532498025, -34.6265136509164)
"Inst. Superior de Educación Física N° 01 Dr. Enrique Romero Brest","SNUCom","Nivel Superior No Universitario Común","Instituto de Educación Superior de Formación Docente",13,"1",100963.5334,109720.5509,"Superior No Universitario Común",-58.4528025584817,-34.5416441888152,"Superior",1,c(-58.4528025584817, -34.5416441888152)
"Esc. Primaria Común N° 20 Tte. Benjamín Matienzo","PriCom","Nivel Primario Común","Escuela de Jornada Simple",6,"1",102096.1792,101899.6809,"Primario Común",-58.4404448179061,-34.6121435138111,"Primario",1,c(-58.4404448179061, -34.6121435138111)
"Inst. Beato Angélico","SNUCom","Nivel Superior No Universitario Común","Instituto Educativo Incorporado a la Enseñanza Oficial",1,"1",108037.7884,101564.1996,"Superior No Universitario Común",-58.3756595820593,-34.6151386597398,"Superior",1,c(-58.3756595820593, -34.6151386597398)
"Esc. Primaria Común N° 08 Almafuerte","PriCom","Nivel Primario Común","Escuela de Jornada Simple",5,"1",104478.0251,99464.4115,"Primario Común",-58.414462553763,-34.6340884875396,"Primario",1,c(-58.414462553763, -34.6340884875396)
"Esc. Técnica N° 18 José Antonio Alvarez Condarco","SecCom","Nivel Secundario Común","Escuela Técnica",7,"1",100781.1253,99904.7814,"Secundario Común",-58.4547813096932,-34.6301281065135,"Secundario",1,c(-58.4547813096932, -34.6301281065135)
"Centro Educativo de Nivel Secundario N° 71","SecAdu","Nivel Secundario de Jóvenes y Adultos","Centro Educativo de Nivel Secundario",8,"1",101345.7141,96558.3131,"Secundario de Jóvenes y Adultos",-58.4486190993431,-34.6602938315103,"Secundario",1,c(-58.4486190993431, -34.6602938315103)
"Jardín de Infantes Nucleado A (EPCjs 09/10°) [Sede]","IniCom","Nivel Inicial Común","Jardín de Infantes Nucleado",13,"1",100218.506,108665.6061,"Inicial Común",-58.4609186293739,-34.551154386753,"Inicial",1,c(-58.4609186293739, -34.551154386753)
"Esc. Primaria Común N° 05 Honorable Congreso de la Nación","PriCom","Nivel Primario Común","Escuela de Jornada Completa",14,"1",102685.3879,107185.5361,"Primario Común",-58.4340369682151,-34.5644931148108,"Primario",1,c(-58.4340369682151, -34.5644931148108)
"Jardín de Infantes El Centavo","IniCom","Nivel Inicial Común","Instituto Educativo Incorporado a la Enseñanza Oficial",1,"1",107140.1542,104030.4206,"Inicial Común",-58.3854675289686,-34.5929137079647,"Inicial",1,c(-58.3854675289686, -34.5929137079647)
"Esc. Primaria Común N° 23 Bernardino Rivadavia","PriCom","Nivel Primario Común","Escuela de Jornada Completa",2,"1",105584.1642,103427.4997,"Primario Común",-58.4024248389757,-34.5983582529109,"Primario",1,c(-58.4024248389757, -34.5983582529109)
"Escuela de la Nueva Expresión","IniCom - PriCom","Nivel Inicial y Primario Común","Instituto Educativo Incorporado a la Enseñanza Oficial",5,"1",103541.3839,103065.8907,"Inicial y Primario Común",-58.4246923602162,-34.6016269192481,"Inicial a Primario",2,c(-58.4246923602162, -34.6016269192481)
"Jardín de Infantes Común N° 02/11°","IniCom","Nivel Inicial Común","Jardín de Infantes Común",7,"1",100526.0575,98151.8319,"Inicial Común",-58.4575619719753,-34.6459299975935,"Inicial",1,c(-58.4575619719753, -34.6459299975935)
"CENOF Centro Fraga","OSEAdu","Otros Servicios Educativos de la modalidad de Jóvenes y Adultos","Centro de Educación No Formal",15,"1",100492.1836,105066.5161,"Otros Servicios Educativos de la modalidad de Jóvenes y Adultos",-58.4579350163229,-34.5835982258622,"Otros",1,c(-58.4579350163229, -34.5835982258622)
"Centro Educativo Complementario de Educación Plástica N° 09 (sede)","OSECom","Otros Servicios Educativos de la modalidad Común","Centro Educativo Complementario de Educación Plástica",13,"1",101605.3414,105494.6199,"Otros Servicios Educativos de la modalidad Común",-58.4458030478623,-34.5797380258704,"Otros",1,c(-58.4458030478623, -34.5797380258704)
"Primera Infancia Servicio Social Agustiniano","OSECom","Otros Servicios Educativos de la modalidad Común","Primera Infancia",8,"1",101313.9632,96332.8401,"Otros Servicios Educativos de la modalidad Común",-58.4489651481983,-34.6623263611281,"Otros",1,c(-58.4489651481983, -34.6623263611281)
"Inst. Tobar Garcia","PriEsp - OSEEsp","Nivel Primario Especial - Otros Servicios Educativos de la modalidad Especial","Instituto Educativo Incorporado a la Enseñanza Oficial",6,"1",102566.6428,101445.5791,"Primario Especial - Otros Servicios Educativos de la modalidad Especial",-58.4353139495893,-34.6162359292457,"Primario",1,c(-58.4353139495893, -34.6162359292457)
"Jardín de Infantes Común N° 04/18°","IniCom","Nivel Inicial Común","Jardín de Infantes Común",10,"1",96789.289,101645.9095,"Inicial Común",-58.4983074916951,-34.6144279469114,"Inicial",1,c(-58.4983074916951, -34.6144279469114)
"Centro Educativo de Nivel Primario N° 26 - Sta. María Madre del Pueblo","PriAdu","Nivel Primario de Jóvenes y Adultos","Centro Educativo de Nivel Primario",8,"1",102873.6253,97077.7643,"Primario de Jóvenes y Adultos",-58.4319521901536,-34.6556082557252,"Primario",1,c(-58.4319521901536, -34.6556082557252)
"Colegio Buenos Aires S.R.L.","IniCom - PriCom - SecCom","Nivel Inicial, Primario y Secundario Común","Instituto Educativo Incorporado a la Enseñanza Oficial",15,"1",102019.3165,103384.463,"Inicial, Primario y Secundario Común",-58.4412862978334,-34.5987592121343,"Inicial a Secundario",3,c(-58.4412862978334, -34.5987592121343)
"Inst. Social Militar Dr. Dámaso Centeno Anexo Jardín de Infantes Gral. San Martín","IniCom","Nivel Inicial Común","No Corresponde - Gob Nac",14,"1",102632.3374,106642.5775,"Inicial Común",-58.4346134088219,-34.5693877375136,"Inicial",1,c(-58.4346134088219, -34.5693877375136)
"Formación de Ciencias Empresariales","SNUCom","Nivel Superior No Universitario Común","Instituto Educativo Incorporado a la Enseñanza Oficial",13,"1",101702.3463,106000.5845,"Superior No Universitario Común",-58.4447467824279,-34.575176875726,"Superior",1,c(-58.4447467824279, -34.575176875726)
"Inst. Tea y Deportea","SNUCom","Nivel Superior No Universitario Común","Instituto Educativo Incorporado a la Enseñanza Oficial",3,"1",106113.1103,102892.2632,"Superior No Universitario Común",-58.3966548096053,-34.6031801166393,"Superior",1,c(-58.3966548096053, -34.6031801166393)
"Jardín de Infantes Nucleado A (EPCjc 10/10°)","IniCom","Nivel Inicial Común","Jardín de Infantes Nucleado",13,"1",100261.5258,109158.5931,"Inicial Común",-58.4604500411476,-34.5467103449069,"Inicial",1,c(-58.4604500411476, -34.5467103449069)
"Esc. Primaria Común N° 15 Cap. Gral. Bernardo O'Higgins","PriCom","Nivel Primario Común","Escuela de Jornada Completa",13,"1",101370.3662,105959.6192,"Primario Común",-58.44836473719,-34.5755466345715,"Primario",1,c(-58.44836473719, -34.5755466345715)
"Colegio Corazón de Jesús","IniCom - PriCom - SecCom","Nivel Inicial, Primario y Secundario Común","Instituto Educativo Incorporado a la Enseñanza Oficial",14,"1",102453.4505,106159.1936,"Inicial, Primario y Secundario Común",-58.4365614727039,-34.5737456207647,"Inicial a Secundario",3,c(-58.4365614727039, -34.5737456207647)
"Esc. Primaria Común N° 16 Wenceslao Posse","PriCom","Nivel Primario Común","Escuela de Jornada Simple",14,"1",105002.2367,104837.4921,"Primario Común",-58.4087768299579,-34.5856509325064,"Primario",1,c(-58.4087768299579, -34.5856509325064)
"Esc. Primaria Común N° 08 Reino de Thailandia","PriCom","Nivel Primario Común","Escuela de Jornada Simple",9,"1",98859.8544,96686.5927,"Primario Común",-58.4757382304892,-34.6591375913143,"Primario",1,c(-58.4757382304892, -34.6591375913143)
"Esc. Primaria Común N° 16 Cap. de Fragata Carlos María Moyano","PriCom","Nivel Primario Común","Escuela de Jornada Simple",13,"1",101066.3966,106519.6192,"Primario Común",-58.4516781694929,-34.5704988755318,"Primario",1,c(-58.4516781694929, -34.5704988755318)
"Jardín Maternal N° 06/18°","IniCom","Nivel Inicial Común","Jardín Maternal",11,"1",97893.2032,100939.1523,"Inicial Común",-58.4862728474851,-34.6208018606764,"Inicial",1,c(-58.4862728474851, -34.6208018606764)
"Inst. de Tecnología","SNUCom","Nivel Superior No Universitario Común","Instituto Educativo Incorporado a la Enseñanza Oficial",1,"1",108046.0897,102247.3721,"Superior No Universitario Común",-58.3755755027785,-34.6089802036507,"Superior",1,c(-58.3755755027785, -34.6089802036507)
"Inst. Juan Bautista Alberdi","SecCom","Nivel Secundario Común","Instituto Educativo Incorporado a la Enseñanza Oficial",7,"1",100354.9896,99870.3505,"Secundario Común",-58.4594285116973,-34.6304386930884,"Secundario",1,c(-58.4594285116973, -34.6304386930884)
"Esc. Primaria Común N° 02 Domingo Faustino Sarmiento","PriCom","Nivel Primario Común","Escuela de Jornada Simple",1,"1",107197.156,104102.4166,"Primario Común",-58.3848467803323,-34.5922643100367,"Primario",1,c(-58.3848467803323, -34.5922643100367)
"UGEE Nº 18 Bachillerato Popular de Jóvenes y Adultos Salvador Herrera - Puentes Solidadrios","SecAdu","Nivel Secundario de Jóvenes y Adultos","Unidad de Gestión Educativa Experimental",8,"1",97071.7285,94748.169,"Secundario de Jóvenes y Adultos",-58.4952522259334,-34.676607532492,"Secundario",1,c(-58.4952522259334, -34.676607532492)
"Jardín del Girasol","OSECom","Otros Servicios Educativos de la modalidad Común","Instituto Educativo Asistencial No Incorporado a la Enseñanza Oficial",6,"1",101781.6694,101714.668,"Otros Servicios Educativos de la modalidad Común",-58.4438735815734,-34.6138118733772,"Otros",1,c(-58.4438735815734, -34.6138118733772)
"Escuela Infantil Crema y Chocolate","OSECom","Otros Servicios Educativos de la modalidad Común","Instituto Educativo Asistencial No Incorporado a la Enseñanza Oficial",5,"1",104035.4789,100564.2097,"Otros Servicios Educativos de la modalidad Común",-58.4192941238772,-34.6241762970189,"Otros",1,c(-58.4192941238772, -34.6241762970189)
"Inst. Educativo Modelo","SecCom","Nivel Secundario Común","Instituto Educativo Incorporado a la Enseñanza Oficial",6,"1",101171.534,100301.9772,"Secundario Común",-58.4505242387146,-34.6265472787186,"Secundario",1,c(-58.4505242387146, -34.6265472787186)
"UGEE Nº 19 Bachillerato Popular de Jóvenes y Adultos Voces de Latinoamérica","SecAdu","Nivel Secundario de Jóvenes y Adultos","Unidad de Gestión Educativa Experimental",1,"1",109929.339,101130.8798,"Secundario de Jóvenes y Adultos",-58.3550300123423,-34.619028314843,"Secundario",1,c(-58.3550300123423, -34.619028314843)
"Prof. Calasanz Instituto de Educación Superior de las Escuelas Pías","SNUCom","Nivel Superior No Universitario Común","Instituto Educativo Incorporado a la Enseñanza Oficial",6,"1",103306.7264,100261.799,"Superior No Universitario Común",-58.4272397904801,-34.6269049141127,"Superior",1,c(-58.4272397904801, -34.6269049141127)
"Rayito de Sol II","OSECom","Otros Servicios Educativos de la modalidad Común","Instituto Educativo Asistencial No Incorporado a la Enseñanza Oficial",4,"1",104739.3613,98849.5742,"Otros Servicios Educativos de la modalidad Común",-58.4116090243107,-34.6396296992114,"Otros",1,c(-58.4116090243107, -34.6396296992114)
"Centro Educativo de Nivel Secundario N° 64","SecAdu","Nivel Secundario de Jóvenes y Adultos","Centro Educativo de Nivel Secundario",9,"1",95280.1917,98513.044,"Secundario de Jóvenes y Adultos",-58.514779460912,-34.642662888177,"Secundario",1,c(-58.514779460912, -34.642662888177)
"Centro Educativo de Nivel Primario N° 63 - El Faro","PriAdu","Nivel Primario de Jóvenes y Adultos","Centro Educativo de Nivel Primario",11,"1",97654.373,103214.7703,"Primario de Jóvenes y Adultos",-58.4888706759163,-34.6002879676842,"Primario",1,c(-58.4888706759163, -34.6002879676842)
"Inst. Orsino","IniCom - PriCom - SecCom - SecAdu","Nivel Inicial, Primario y Secundario Común - Nivel Secundario de Jóvenes y Adultos","Instituto Educativo Incorporado a la Enseñanza Oficial",6,"1",100806.9933,101718.739,"Inicial, Primario y Secundario Común - Secundario de Jóvenes y Adultos",-58.4545008151511,-34.6137763527957,"Inicial a Secundario",3,c(-58.4545008151511, -34.6137763527957)
"Primera Infancia Sol de Noche","OSECom","Otros Servicios Educativos de la modalidad Común","Primera Infancia",4,"1",105447.5787,97609.2908,"Otros Servicios Educativos de la modalidad Común",-58.4038768014806,-34.6508065779663,"Otros",1,c(-58.4038768014806, -34.6508065779663)
"Inst. Raices","IniCom - PriCom","Nivel Inicial y Primario Común","Instituto Educativo Incorporado a la Enseñanza Oficial",12,"1",97338.8416,105111.0326,"Inicial y Primario Común",-58.4923044015089,-34.5831934364631,"Inicial a Primario",2,c(-58.4923044015089, -34.5831934364631)
"Esc. Primaria Común N° 05 Roberto Billinghurst","PriCom","Nivel Primario Común","Escuela de Jornada Simple",9,"1",99238.1195,97450.2302,"Primario Común",-58.4716108944893,-34.6522542688321,"Primario",1,c(-58.4716108944893, -34.6522542688321)
"Inst. Prebístero Manuel Alberti","SecCom - SecAdu","Nivel Secundario Común - Nivel Secundario de Jóvenes y Adultos","Instituto Educativo Incorporado a la Enseñanza Oficial",1,"1",106674.2498,99786.7689,"Secundario Común - Secundario de Jóvenes y Adultos",-58.3905130640088,-34.6311708123957,"Secundario",1,c(-58.3905130640088, -34.6311708123957)
"Escuela Infantil Suricatas","OSECom","Otros Servicios Educativos de la modalidad Común","Instituto Educativo Asistencial no Incorporado a la Enseñanza Oficial",12,"1",97746.2332,105929.2453,"Otros Servicios Educativos de la modalidad Común",-58.4878618775925,-34.5758186873963,"Otros",1,c(-58.4878618775925, -34.5758186873963)
"ESEA en Danza Ramicone Curso Vocacional de Folklore N° 26","OSECom","Otros Servicios Educativos de la modalidad Común","Escuela Superior de Educación Artística",6,"1",101366.0517,101582.0714,"Otros Servicios Educativos de la modalidad Común",-58.4484049998461,-34.6150077684425,"Otros",1,c(-58.4484049998461, -34.6150077684425)
"Jardín de Infantes Cevallitos","IniCom","Nivel Inicial Común","Instituto Educativo Incorporado a la Enseñanza Oficial",1,"1",106805.0467,101289.8906,"Inicial Común",-58.3890986093019,-34.6176202396843,"Inicial",1,c(-58.3890986093019, -34.6176202396843)
"Centro Educativo Cursos Especiales - Asociación  Italiana","OSEAdu","Otros Servicios Educativos de la modalidad de Jóvenes y Adultos","Cursos Especiales en Centros Educativos",13,"1",100351.9988,107356.5414,"Otros Servicios Educativos de la modalidad de Jóvenes y Adultos",-58.459463746259,-34.5629549123121,"Otros",1,c(-58.459463746259, -34.5629549123121)
"CENOF D.E. 06 ""Centro Municipal del Tango"" - Esc. Primaria 12/06°","OSEAdu","Otros Servicios Educativos de la modalidad de Jóvenes y Adultos","Centro de Educación No Formal",3,"1",104746.0927,101270.5838,"Otros Servicios Educativos de la modalidad de Jóvenes y Adultos",-58.4115490027057,-34.6178057579835,"Otros",1,c(-58.4115490027057, -34.6178057579835)
"Jardín de Infantes Común N° 03/16° Mafalda","IniCom","Nivel Inicial Común","Jardín de Infantes Común",11,"1",95591.4065,103795.911,"Inicial Común",-58.5113572048822,-34.5950424193259,"Inicial",1,c(-58.5113572048822, -34.5950424193259)
"Inst. La Providencia","IniCom - PriCom - SecCom","Nivel Inicial, Primario y Secundario Común","Instituto Educativo Incorporado a la Enseñanza Oficial",1,"1",107090.0103,100575.0699,"Inicial, Primario y Secundario Común",-58.3859854843708,-34.6240619989455,"Inicial a Secundario",3,c(-58.3859854843708, -34.6240619989455)
